key,query,doi,score,ts
GJVQVBNY,"?query.bibliographic=Accessibility Toolkit - 2nd Edition&query.author=Coolidge, Amanda; Doner, Sue; Robertson, Tara; Gray, Josie&query.bibliographic=2018",10.1080/10999922.2020.1803689,29.937988,1598888526.913686
Z4LIT28T,,Type not supported,,1598888526.9253814
ZJQH3HHI,,Type not supported,,1598888526.9360664
VTKVJLRH,,Type not supported,,1598888526.944056
K4ZIEBPE,,Type not supported,,1598888526.9517796
CPSMDE8G,,Type not supported,,1598888526.9594152
4P7E4SKV,,Type not supported,,1598888526.9670136
7RBQEZEK,,Type not supported,,1598888526.9746516
LLBSLIMV,,Type not supported,,1598888526.9824517
SPL8429M,/10.5771/0943-7444-2017-7-472,10.5771/0943-7444-2017-7-472,,1598888527.771951
GWX9LPFK,,Type not supported,,1598888527.7863574
FZEAD8DV,"?query.bibliographic=Along the archival grain: thinking through colonial ontologies&query.author=Stoler, Ann Laura; Princeton University Press&query.bibliographic=2009",10.1515/9781400835478,67.02309,1598888528.8591526
MM99RSKN,/10.1353/fro.2004.0021,10.1353/fro.2004.0021,,1598888529.611964
7LV7LT3S,"?query.bibliographic=Algorithms of Oppression&query.author=Noble, Safiya Umoja&query.bibliographic=2018",10.2307/j.ctt1pwt9w5,69.00561,1598888530.4987109
R7379HJR,"?query.bibliographic=Ethnographic collecting and African agency in early colonial West Africa: a study of trans-imperial cultural flows&query.author=Kingdon, Zachary; Brown, Kathryn&query.bibliographic=2019",10.5040/9781501337956,78.62449000000001,1598888531.878673
KSIDSEIE,/10.1111/muan.12121,10.1111/muan.12121,,1598888532.6783378
J2ZTMI2W,/10.2307/3046172,10.2307/3046172,,1598888533.4967942
Z4ERKH4L,"?query.bibliographic=Dwelling in the archive: women writing house, home, and history in late colonial India&query.author=Burton, Antoinette M&query.bibliographic=2010",10.1093/acprof:oso/9780195144253.003.0002,52.64091,1598888535.5021017
L9IPCRVI,"?query.bibliographic=Sorting things out: classification and its consequences&query.author=Bowker, Geoffrey C; Star, Susan Leigh&query.bibliographic=2008",10.7551/mitpress/6352.001.0001,96.99410999999999,1598888536.8239696
UDUYQIFW,/10.24242/jclis.v1i1.17,10.24242/jclis.v1i1.17,,1598888537.6701741
8PFKE579,"?query.bibliographic=“Chuck a Copyright on It”: Dilemmas of Digital Return and the Possibilities for Traditional Knowledge Licenses and Labels&query.author=Anderson, Jane; Christen, Kim&query.bibliographic=2013&query.container-title=Museum Anthropology Review",10.1525/mua.2006.29.1.56,37.186478,1598888539.6606188
YKE5ZI25,"?query.bibliographic=Indigenous Peoples and the Promise of Globalization: An Essay on Rights and Responsibilities&query.author=Riley, Angela R.&query.bibliographic=2004&query.container-title=Kansas Journal of Law and Public Policy",10.1016/s0161-8938(04)00047-x,37.039234,1598888545.2717378
FAM46VYW,"?query.bibliographic=TRIPS-Related Aspects of Traditional Knowledge&query.author=Dutfield, Graham&query.bibliographic=2001&query.container-title=Case Western Reserve Journal of International Law",10.1017/cbo9780511494529.025,50.297134,1598888546.6253207
KIIS7PVX,"?query.bibliographic=Hijacking Shared Cultural Heritage: Cultural Artifacts and Intellectual Property Rights&query.author=Blackwell, Amy Hackney; Blackwell, Christopher William&query.bibliographic=2014&query.container-title=Chicago-Kent Journal of Intellectual Property",10.4324/9781315714288-1,71.11343000000001,1598888548.3279164
56YVX8JK,,Type not supported,,1598888548.3441644
XR7F2IBC,,Type not supported,,1598888548.355438
C9R5U3Y6,,Type not supported,,1598888548.3659134
G56JHUID,,Type not supported,,1598888548.3754447
LDTEWQ95,"?query.bibliographic=What Happens When Books Enter the Public Domain? Testing Copyright’s Underuse Hypothesis Across Australia, New Zealand, the United States and Canada&query.author=Flynn, Jacob; Giblin, Rebecca; Petitjean, Francois&query.bibliographic=2019&query.container-title=University of New South Wales Law Journal",10.7790/tja.v62i4.310,41.748833000000005,1598888550.815752
VDVLIWSE,,Type not supported,,1598888550.8312821
JR6GZDN6,"?query.bibliographic=Keeping the World Safe from Naked-Chicks-in-Art Refrigerator Magnets: The Plot to Control Art Images in the Public Domain through Copyrights in Photographic and Digital Reproductions&query.author=Butler, Kathleen Connolly&query.bibliographic=1998&query.container-title=Hastings Communications & Entertainment Law Journal",10.1080/00043249.2012.10791079,32.76643,1598888552.8181756
CY6NJ784,/10.24926/24716839.2277,10.24926/24716839.2277,,1598888553.6076286
RICTZVC5,,Type not supported,,1598888553.621562
FHE66G5Q,,Type not supported,,1598888553.637461
VVW3A4FK,,Type not supported,,1598888553.655541
ZPXRT686,,Type not supported,,1598888553.66951
R3UALFWC,,Type not supported,,1598888553.6818266
IG3GKRLX,,Type not supported,,1598888553.6908836
2KRLEJ6T,,Type not supported,,1598888553.703502
SVVJUUXG,,Type not supported,,1598888553.7161176
SJ3SND5G,,Type not supported,,1598888553.7303665
Y9M3HG9S,"?query.bibliographic=Defining ""Noncommercial"": A Study of How the Online Population Understands ""Noncommercial Use""&query.bibliographic=2009",10.7551/mitpress/9780262034654.003.0030,39.49303,1598888555.1243644
I5ZRTSXE,"?query.bibliographic=Digital Resource Cost Efficiency and Income Generation Compared with Analog Resources: A study on Behalf of The Andrew W. Mellon Foundation&query.author=Tanner, Simon; Deegan, Marilyn&query.bibliographic=2002",10.1108/lhtn.2002.23919caf.001,55.33809,1598888556.378269
F5L62QB4,,Type not supported,,1598888556.3903596
N4PJPZB9,,Type not supported,,1598888556.4016426
5994IB3Q,"?query.bibliographic=Copyright 101 · Copyright Cortex&query.author=Deazley, Ronan&query.bibliographic=2017",10.4337/9781849808033.00010,58.061127,1598888557.660374
AWQUCRGJ,"?query.bibliographic=Theories of Intellectual Property&query.author=Fisher, William&query.bibliographic=2001&query.container-title=New Essays in the Legal and Political Theory of Property",10.4337/9781847201553.00015,38.674820000000004,1598888558.7324011
MTB8SWJ2,"?query.bibliographic=Copyright and Digital Cultural Heritage: A Brief History of Copyright · Copyright Cortex&query.author=Deazley, Ronan&query.bibliographic=2017&query.container-title=Copyright 101",10.4337/9781849808033.00010,98.24426,1598888559.5948994
XN88T47C,"?query.bibliographic=Technoheritage&query.author=Katyal, Sonia&query.bibliographic=2018&query.container-title=California Law Review",10.3828/tpr.2018.38,17.9072,1598888561.2242448
KP4UTEJA,,Type not supported,,1598888561.241416
75XKUIKD,,Type not supported,,1598888561.2517767
8QL9UHLS,"?query.bibliographic=Protecting Folklore of Indigenous Peoples: Is Intellectual Property the Answer?&query.author=Farley, Christine Haight&query.bibliographic=1997",10.4337/9781784719463.00024,50.344048,1598888562.2163966
NG6PD6WA,/10.1086/204721,10.1086/204721,,1598888562.9740176
F95QDGII,,Type not supported,,1598888562.9922721
5BLAFHBC,"?query.bibliographic=The Intellectual Property implications of the development of industrial 3D printing.&query.author=Mendis, Dinusha; Nordermann, Jan Bernd; Ballardini, Rosa Maria; Brorsen, Hans; Calatrava Moreno, Maria del Carmen; Robson, Julie; Dickens, Phill&query.bibliographic=2020",10.4337/9781785368349.00031,70.73387,1598888565.168669
XVCW66JG,"?query.bibliographic=The Cultural Life of Intellectual Properties: Authorship, Appropriation, and the Law&query.author=Coombe, Rosemary J.&query.bibliographic=1998",10.2307/j.ctv11sn021,86.79372,1598888566.4799035
YJR5WZ4Q,"?query.bibliographic=Cultural Diversity, Copyright, and International Trade&query.author=Macmillan, Fiona&query.bibliographic=2014&query.container-title=Handbook of the Economics of Art and Culture",10.1016/b978-0-444-53776-8.00016-7,76.616264,1598888567.645333
HMIJKHSK,,Type not supported,,1598888567.657284
HTSL6ILK,?query.bibliographic=[No title found]&query.container-title=revista PH,10.1159/000388663,14.669857,1598888568.4522188
KZN5S8DY,"?query.bibliographic=The Second Enclosure Movement and the Construction of the Public Domain&query.author=Boyle, James&query.bibliographic=2003&query.container-title=Law and Contemporary Problems",10.4324/9781315095400-3,64.24109,1598888569.3799186
LH852FQL,,Type not supported,,1598888569.3976386
8AVLH97J,,Type not supported,,1598888569.4079685
I2GJPGRC,"?query.bibliographic=Do Bad Things Happen When Works Enter the Public Domain?: Empirical Tests of Copyright Term Extension&query.author=Buccafusco, Christopher J.; Heald, Paul J.&query.bibliographic=2013&query.container-title=Berkeley Technology Law Journal",10.2139/ssrn.2130008,131.21318,1598888571.696795
QDD45EQV,,Type not supported,,1598888571.711338
53J5ZQQL,?query.bibliographic=Intellectual property needs and expectations of traditional knowledge holders WIPO report on fact-finding missions on intellectual property and traditional knowledge (1998-1999)&query.bibliographic=2001,10.4324/9781315666358-20,87.90184,1598888573.1283815
L2QRMKCY,"?query.bibliographic=Experiments in Intellectual Property&query.author=Buccafusco, Christopher; Sprigman, Christopher Jon&query.bibliographic=2019&query.container-title=Research Handbook on the Economics of Intellectual Property Law",10.4337/9781789903997.00071,91.44899000000001,1598888574.4367714
TEV37KIS,,Type not supported,,1598888574.4527216
HX3P34SR,"?query.bibliographic=Exhibition Methodology&query.author=Wallace, Andrea&query.bibliographic=2016&query.container-title=Display At Your Own Risk: An experimental exhibition of digital cultural heritage",10.1016/j.culher.2016.03.005,25.81956,1598888575.5245574
24SFZ5QI,"?query.bibliographic=GLAMourishing Intangible Cultural Heritage: When Technology, Copyright, and Cultural Institutions Meet&query.author=Blakely, Megan&query.bibliographic=2016&query.container-title=Display At Your Own Risk: An experimental exhibition of digital cultural heritage",10.4337/9781786434012.00017,65.07834,1598888576.4573207
W5SM7GEI,,Type not supported,,1598888576.4703698
5LS5R658,"?query.bibliographic=The Undercommons: Fugitive Planning & Black Study&query.author=Harney, Stefano; Moten, Fred&query.bibliographic=2013",10.1215/01642472-22-2_79-101,64.04942,1598888577.4665306
6FMPB9RE,,Type not supported,,1598888577.4793785
4PRV6QDY,,Type not supported,,1598888577.4903822
A4KSPMXP,,Type not supported,,1598888577.5012064
BBEU6FQ7,,Type not supported,,1598888577.5130413
