Key,Creator,Creator Role,Creator Order,gender,agreement,split,male,female,ambiguous
GVDH3IT6,"Nyhan, Julianne",Author,0.0,F,0.8571428571428571,False,{},"{'JULIANNE': ['AT', 'CH', 'GB', 'IE', 'MT', 'US']}",{'JULIANNE': ['CA']}
GVDH3IT6," Flinn, Andrew",Author,1.0,M,0.8333333333333334,False,"{'ANDREW': ['GB', 'IE', 'MT', 'UA', 'US']}",{},{'ANDREW': ['CA']}
MBPFBMLJ,New Zealand Ministry for Culture and Heritage Te Manatu,Author,0.0,Unexpected name format,,,,,
PMCCZTG5,"Wajcman, Judy",Author,0.0,F,1.0,False,{},"{'JUDY': ['CA', 'GB', 'IE', 'US']}",{}
2M3GDNWE,"Robertson, Stephen",Author,0.0,M,1.0,False,"{'STEPHEN': ['BE', 'CA', 'GB', 'IE', 'IL', 'KE', 'MT', 'SZ', 'US']}",{},{}
2M3GDNWE,"Gold, Gold, Matthew K",Editor,0.0,Unexpected name format,,,,,
2M3GDNWE," Klein, Lauren F",Editor,1.0,F,0.6666666666666666,True,{},"{'LAUREN': ['GB', 'US']}",{'LAUREN': ['CA']}
884DV8UK,"McPherson, Tara",Author,0.0,F,0.8888888888888888,False,{},"{'TARA': ['BE', 'GB', 'IE', 'IL', 'IN', 'NL', 'SE', 'US']}",{'TARA': ['CA']}
884DV8UK,"Gold, Matthew K",Editor,0.0,M,1.0,True,"{'MATTHEW': ['CA', 'GB', 'IE', 'MT', 'US']}",{},{}
WQG4ZXNK,"Gebre, Engida H",Author,0.0,Name(s) not found,,,,,
WQG4ZXNK," Morales, Esteban",Author,1.0,M,1.0,False,"{'ESTEBAN': ['CA', 'ES', 'GB', 'US']}",{},{}
CCVZR7XJ,Te Puni Kokiri,Author,0.0,Unexpected name format,,,,,
WU64N8E2,Translation Commons,Author,0.0,Unexpected name format,,,,,
S84G9XNA,"Vulser, Nicole",Author,0.0,F,1.0,False,{},"{'NICOLE': ['AT', 'BE', 'CA', 'CH', 'DE', 'DK', 'FR', 'GB', 'IE', 'LU', 'MT', 'NL', 'SE', 'US', 'VE']}",{}
GFJA8EI6,"Cairns, Puawai",Author,0.0,Name(s) not found,,,,,
BW9J28RU,"McGivern, Hannah",Author,0.0,F,1.0,False,{},"{'HANNAH': ['AT', 'CA', 'DE', 'DK', 'GB', 'IE', 'IL', 'MT', 'MY', 'NL', 'US']}",{}
CE8L9XAW,"Fauconnier, Sandra",Author,0.0,F,1.0,False,{},"{'SANDRA': ['AT', 'BA', 'BE', 'CA', 'CH', 'DE', 'DK', 'DM', 'EE', 'ES', 'FR', 'GB', 'HR', 'IE', 'IS', 'IT', 'LT', 'LU', 'LV', 'ME', 'MT', 'NL', 'NO', 'PT', 'RS', 'SE', 'SI', 'US']}",{}
Z9VYV3M3,Association of Critical Heritage Studies,Author,0.0,Unexpected name format,,,,,
QJ2V8AME,"Elster Pantalony, Rina",Author,0.0,F,1.0,False,{},"{'RINA': ['BE', 'BY', 'CA', 'CH', 'EC', 'GB', 'IL', 'IN', 'IT', 'JP', 'KS', 'NL', 'US']}",{}
7G2BFYJU,IFLA,Author,0.0,Unexpected name format,,,,,
ZM7E97KU,"Khan, Mehtab",Author,0.0,M,0.6666666666666666,False,"{'MEHTAB': ['GB', 'US']}",{},{'MEHTAB': ['CA']}
3VW67ERV,"Pringle, Jonathan",Author,0.0,M,1.0,False,"{'JONATHAN': ['AT', 'BE', 'CA', 'CH', 'DE', 'DK', 'FR', 'GB', 'IE', 'IL', 'LU', 'MT', 'SE', 'US']}",{},{}
7WWIRY9X,"Carpenter, Brian",Author,0.0,M,0.8888888888888888,False,"{'BRIAN': ['BE', 'DK', 'GB', 'IE', 'MT', 'NL', 'NO', 'US']}",{},{'BRIAN': ['CA']}
4YT2KDMN,"Wenman, Cosmo",Author,0.0,M,1.0,False,"{'COSMO': ['CA', 'GB', 'IT', 'US']}",{},{}
LSCLCZFB,SCANN,Author,0.0,Unexpected name format,,,,,
J8X89A5S,SCANN,Author,0.0,Unexpected name format,,,,,
DCWB84FA,SCANN,Author,0.0,Unexpected name format,,,,,
YLJFLNC6,"Glasemann, Karin",Author,0.0,F,1.0,False,{},"{'KARIN': ['AT', 'BE', 'CA', 'CH', 'CZ', 'DE', 'DK', 'EE', 'GB', 'LU', 'NL', 'NO', 'SE', 'US']}",{}
YLJFLNC6," Matas, Ariadna",Author,1.0,F,1.0,False,{},"{'ARIADNA': ['CA', 'ES', 'GB', 'RO', 'US']}",{}
YLJFLNC6," Vézina, Brigitte",Author,2.0,F,1.0,False,{},"{'BRIGITTE': ['AT', 'BE', 'CA', 'CH', 'DE', 'DK', 'FR', 'GB', 'LU', 'MT', 'NL', 'NO', 'US']}",{}
8TACL6M9,"Harpur, Paul",Author,0.0,M,1.0,False,"{'PAUL': ['AT', 'BE', 'CA', 'CH', 'CM', 'DE', 'DK', 'EE', 'ES', 'FR', 'GB', 'IE', 'IL', 'LU', 'MT', 'NL', 'NO', 'RO', 'SE', 'US']}",{},{}
8TACL6M9," Suzor, Nicolas",Author,1.0,M,1.0,False,"{'NICOLAS': ['AT', 'BE', 'CA', 'CH', 'CO', 'DE', 'ES', 'FR', 'GB', 'IE', 'LU', 'MX', 'SE', 'US', 'UY']}",{},{}
P36NVPDN,Wikimedia Deutschland,Author,0.0,Unexpected name format,,,,,
2A64IVUU,"Davidson, Jared",Author,0.0,M,0.75,False,"{'JARED': ['GB', 'PH', 'US']}",{},{'JARED': ['CA']}
WZCD268G,"Webster, Peter",Author,0.0,M,1.0,False,"{'PETER': [nan, 'AT', 'BE', 'BY', 'CA', 'CH', 'DE', 'DK', 'EG', 'GB', 'GL', 'HU', 'IE', 'IL', 'KE', 'LI', 'LU', 'MT', 'NL', 'NO', 'RU', 'SE', 'SI', 'SK', 'UA', 'US']}",{},{}
JG3GLDJR,"Sentance, Nathan",Author,0.0,M,1.0,False,"{'NATHAN': ['BE', 'CA', 'CH', 'FR', 'GB', 'IL', 'IN', 'MC', 'NL', 'SE', 'US']}",{},{}
